Name,Type,Description,Connections,LinkOutsA,LinkOutsB
individualised student activity,Learning,somet special data ,,,d
professional allignment,Learning,more data,,,
employability/industry,Learning,otherthing,,,
Assessments,Learning,thathing,,,
Data and Analytics,Learning,"Create authentic assessment tasks that mirror professions
Provide choice of assessment items that may include negotiated assessment tasks
Design program level assessment tasks made up of several parts that are assessed in a number of courses across the program
Communicate explicitly the assessment criteria & standards to students
Use course portfolios as evidence of quality learning
Use constructively aligned learning outcomes, learning activities & assessment & make explicit to students
Enable students to use multiple presentation media/methods for various assessment purposes
Assess student learning prior to assessment tasks, including self-assessments
Provide assessment tasks involving collaboration activities
Provide the opportunity for internal & external reviewers to validate the evidence of student performance
Provide remote assessment invigilation to meet the needs of students
Allow students to submit evidence of mastery of standards and/or learning outcomes to earn a badge
Adaptive assessment technologies",,,
Google Drive,Tool,Description,"individualised student activity, professional allignment, employability/industry, Assessments, Data and Analytics",Data,data B - 
Bb Analytics,Tool,,"individualised student activity, professional allignment, employability/industry, Assessments, Data and Analytics",,
Pebble Pad,Tool,,"individualised student activity, professional allignment, employability/industry, Assessments, Data and Analytics",,
Yammer,Tool,,"individualised student activity, professional allignment, employability/industry, Assessments, Data and Analytics",,
Teams,Tool,,"individualised student activity, professional allignment, employability/industry, Assessments, Data and Analytics",,
Word Press,Tool,,"individualised student activity, professional allignment, employability/industry, Assessments, Data and Analytics",,
Microsoft Stream,Tool,,"individualised student activity, professional allignment, employability/industry, Assessments, Data and Analytics",,
Interview Stream,Tool,,"individualised student activity, professional allignment, employability/industry, Assessments, Data and Analytics",,
Twitter,Tool,,Data and Analytics,,
VoiceThread,Tool,,Assessments,,
Microsoft OneNote.Class Notebook,Tool,,"individualised student activity, professional allignment, employability/industry, Assessments, Data and Analytics",,
Padlet,Tool,,"individualised student activity, professional allignment, employability/industry, Assessments, Data and Analytics",,
Meant to fail,Tool,,Teacher Interactions,,
